Transaction ID,Date,Customer ID,Product Category,Quantity,Price per Unit,Total Amount,Age,Gender,Item Purchased,Location,Season,Review Rating,Discount Applied,Frequency of Purchases,Store ID,Category,Weather Condition,Seasonality,is_holiday,holiday_name,Age Group,holiday_sales_boost,weather_impact,Avg Spend,Repeat Purchases,customer_segment
1,2023-11-24,CUST001,Beauty,3,50,150,55,Male,Blouse,Kentucky,Winter,3.1,Yes,Fortnightly,S001,Groceries,Rainy,Winter,False,No Holiday,51-60,0,0.8,150.0,1,1
1,2023-11-24,CUST001,Beauty,3,50,150,55,Male,Blouse,Kentucky,Winter,3.1,Yes,Fortnightly,S001,Groceries,Sunny,Winter,False,No Holiday,51-60,0,1.1,150.0,1,1
1,2023-11-24,CUST001,Beauty,3,50,150,55,Male,Blouse,Kentucky,Winter,3.1,Yes,Fortnightly,S001,Toys,Snowy,Winter,False,No Holiday,51-60,0,0.7,150.0,1,1
1,2023-11-24,CUST001,Beauty,3,50,150,55,Male,Blouse,Kentucky,Winter,3.1,Yes,Fortnightly,S002,Clothing,Cloudy,Winter,False,No Holiday,51-60,0,1.0,150.0,1,1
1,2023-11-24,CUST001,Beauty,3,50,150,55,Male,Blouse,Kentucky,Winter,3.1,Yes,Fortnightly,S002,Furniture,Rainy,Winter,False,No Holiday,51-60,0,0.8,150.0,1,1
1,2023-11-24,CUST001,Beauty,3,50,150,55,Male,Blouse,Kentucky,Winter,3.1,Yes,Fortnightly,S002,Clothing,Sunny,Winter,False,No Holiday,51-60,0,1.1,150.0,1,1
1,2023-11-24,CUST001,Beauty,3,50,150,55,Male,Blouse,Kentucky,Winter,3.1,Yes,Fortnightly,S002,Groceries,Snowy,Winter,False,No Holiday,51-60,0,0.7,150.0,1,1
1,2023-11-24,CUST001,Beauty,3,50,150,55,Male,Blouse,Kentucky,Winter,3.1,Yes,Fortnightly,S003,Clothing,Sunny,Winter,False,No Holiday,51-60,0,1.1,150.0,1,1
1,2023-11-24,CUST001,Beauty,3,50,150,55,Male,Blouse,Kentucky,Winter,3.1,Yes,Fortnightly,S003,Furniture,Snowy,Winter,False,No Holiday,51-60,0,0.7,150.0,1,1
1,2023-11-24,CUST001,Beauty,3,50,150,55,Male,Blouse,Kentucky,Winter,3.1,Yes,Fortnightly,S004,Furniture,Rainy,Winter,False,No Holiday,51-60,0,0.8,150.0,1,1
1,2023-11-24,CUST001,Beauty,3,50,150,55,Male,Blouse,Kentucky,Winter,3.1,Yes,Fortnightly,S004,Clothing,Snowy,Winter,False,No Holiday,51-60,0,0.7,150.0,1,1
1,2023-11-24,CUST001,Beauty,3,50,150,55,Male,Blouse,Kentucky,Winter,3.1,Yes,Fortnightly,S004,Furniture,Cloudy,Winter,False,No Holiday,51-60,0,1.0,150.0,1,1
1,2023-11-24,CUST001,Beauty,3,50,150,55,Male,Blouse,Kentucky,Winter,3.1,Yes,Fortnightly,S005,Toys,Snowy,Winter,False,No Holiday,51-60,0,0.7,150.0,1,1
1,2023-11-24,CUST001,Beauty,3,50,150,55,Male,Blouse,Kentucky,Winter,3.1,Yes,Fortnightly,S005,Electronics,Cloudy,Winter,False,No Holiday,51-60,0,1.0,150.0,1,1
